Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Ascendant Resources Inc.,ASND,2021,1,6,0.225,Basic Materials,Other Industrial Metals & Mining,21410000.0,N/A,N/A,4.09,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,7,0.23,Basic Materials,Other Industrial Metals & Mining,21890000.0,N/A,N/A,4.18,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,8,0.2,Basic Materials,Other Industrial Metals & Mining,19030000.0,N/A,N/A,3.64,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,11,0.19,Basic Materials,Other Industrial Metals & Mining,18080000.0,N/A,N/A,3.45,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,12,0.2,Basic Materials,Other Industrial Metals & Mining,19030000.0,N/A,N/A,3.64,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,13,0.2,Basic Materials,Other Industrial Metals & Mining,19030000.0,N/A,N/A,3.64,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,14,0.2,Basic Materials,Other Industrial Metals & Mining,19030000.0,N/A,N/A,3.64,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,15,0.2,Basic Materials,Other Industrial Metals & Mining,19030000.0,N/A,N/A,3.64,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,18,0.195,Basic Materials,Other Industrial Metals & Mining,18560000.0,N/A,N/A,3.55,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,19,0.2,Basic Materials,Other Industrial Metals & Mining,19030000.0,N/A,N/A,3.64,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,20,0.2,Basic Materials,Other Industrial Metals & Mining,19030000.0,N/A,N/A,3.64,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,20,0.2,Basic Materials,Other Industrial Metals & Mining,19030000.0,N/A,N/A,3.64,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,22,0.2,Basic Materials,Other Industrial Metals & Mining,19030000.0,N/A,N/A,3.64,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,25,0.23,Basic Materials,Other Industrial Metals & Mining,21890000.0,N/A,N/A,4.18,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,26,0.24,Basic Materials,Other Industrial Metals & Mining,22840000.0,N/A,N/A,4.36,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,27,0.24,Basic Materials,Other Industrial Metals & Mining,22840000.0,N/A,N/A,4.36,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,28,0.24,Basic Materials,Other Industrial Metals & Mining,22840000.0,N/A,N/A,4.36,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,1,29,0.23,Basic Materials,Other Industrial Metals & Mining,21890000.0,N/A,N/A,4.18,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,2,1,0.235,Basic Materials,Other Industrial Metals & Mining,22360000.0,N/A,N/A,4.27,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,2,2,0.235,Basic Materials,Other Industrial Metals & Mining,22360000.0,N/A,N/A,4.27,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,2,3,0.23,Basic Materials,Other Industrial Metals & Mining,21890000.0,N/A,N/A,4.18,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,2,4,0.22,Basic Materials,Other Industrial Metals & Mining,20940000.0,N/A,N/A,4.0,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,2,5,0.23,Basic Materials,Other Industrial Metals & Mining,21890000.0,N/A,N/A,4.18,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,2,8,0.23,Basic Materials,Other Industrial Metals & Mining,21890000.0,N/A,N/A,4.18,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,2,9,0.225,Basic Materials,Other Industrial Metals & Mining,21410000.0,N/A,N/A,4.09,N/A,0.0,N/A
Ascendant Resources Inc.,ASND,2021,2,10,0.22,Basic Materials,Other Industrial Metals & Mining,20940000.0,N/A,N/A,4.0,N/A,0.0,N/A
