Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Dexterra Group Inc.,DXT,2021,1,6,6.54,Industrials,Engineering & Construction,424250000.0,3.75,0.29,1.4,0.0462,N/A,5.018160963486905
Dexterra Group Inc.,DXT,2021,1,7,6.55,Industrials,Engineering & Construction,424890000.0,3.76,0.3,1.4,0.0462,N/A,5.031542726056203
Dexterra Group Inc.,DXT,2021,1,8,6.7,Industrials,Engineering & Construction,434620000.0,3.84,0.3,1.43,0.0462,N/A,5.2487096157522455
Dexterra Group Inc.,DXT,2021,1,11,6.73,Industrials,Engineering & Construction,436570000.0,3.86,0.3,1.44,0.0458,N/A,5.314974182444061
Dexterra Group Inc.,DXT,2021,1,12,6.62,Industrials,Engineering & Construction,429440000.0,3.8,0.3,1.41,0.0458,N/A,5.123350545037291
Dexterra Group Inc.,DXT,2021,1,13,6.31,Industrials,Engineering & Construction,409330000.0,3.62,0.3,1.35,0.0446,N/A,4.678345778288341
Dexterra Group Inc.,DXT,2021,1,14,6.5,Industrials,Engineering & Construction,421650000.0,3.73,0.3,1.39,0.0453,N/A,4.960011479957907
Dexterra Group Inc.,DXT,2021,1,15,6.66,Industrials,Engineering & Construction,432030000.0,3.82,0.29,1.42,0.0475,N/A,5.178424821002386
Dexterra Group Inc.,DXT,2021,1,18,6.8,Industrials,Engineering & Construction,441110000.0,3.9,0.29,1.45,0.0462,N/A,5.405276237813037
Dexterra Group Inc.,DXT,2021,1,19,6.66,Industrials,Engineering & Construction,432030000.0,3.82,0.29,1.42,0.045,N/A,5.190813397129187
Dexterra Group Inc.,DXT,2021,1,20,6.55,Industrials,Engineering & Construction,424890000.0,3.76,0.3,1.4,0.0441,N/A,5.041662675988889
Dexterra Group Inc.,DXT,2021,1,21,6.5,Industrials,Engineering & Construction,421650000.0,3.73,0.3,1.39,0.045,N/A,4.961435406698564
Dexterra Group Inc.,DXT,2021,1,22,6.36,Industrials,Engineering & Construction,412570000.0,3.65,0.3,1.36,0.0441,N/A,4.754333876065512
Dexterra Group Inc.,DXT,2021,1,25,6.38,Industrials,Engineering & Construction,413870000.0,3.66,0.3,1.36,0.0462,N/A,4.7577900974956995
