Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Anaconda Mining Inc.,ANX,2021,1,6,0.6,Basic Materials,Gold,88930000.0,12.24,N/A,1.44,N/A,0.0,17.6256
Anaconda Mining Inc.,ANX,2021,1,7,0.62,Basic Materials,Gold,91890000.0,12.65,N/A,1.49,N/A,0.0,18.8485
Anaconda Mining Inc.,ANX,2021,1,8,0.6,Basic Materials,Gold,88930000.0,12.24,N/A,1.44,N/A,0.0,17.6256
Anaconda Mining Inc.,ANX,2021,1,11,0.6,Basic Materials,Gold,88930000.0,12.24,N/A,1.44,N/A,0.0,17.6256
Anaconda Mining Inc.,ANX,2021,1,12,0.59,Basic Materials,Gold,87450000.0,12.04,N/A,1.41,N/A,0.0,16.976399999999998
Anaconda Mining Inc.,ANX,2021,1,13,0.57,Basic Materials,Gold,84480000.0,11.63,N/A,1.37,N/A,0.0,15.933100000000003
Anaconda Mining Inc.,ANX,2021,1,14,0.56,Basic Materials,Gold,89700000.0,11.43,N/A,1.34,N/A,0.0,15.3162
Anaconda Mining Inc.,ANX,2021,1,15,0.55,Basic Materials,Gold,88100000.0,11.22,N/A,1.32,N/A,0.0,14.810400000000001
Anaconda Mining Inc.,ANX,2021,1,18,0.54,Basic Materials,Gold,86490000.0,11.02,N/A,1.29,N/A,0.0,14.2158
Anaconda Mining Inc.,ANX,2021,1,19,0.56,Basic Materials,Gold,89700000.0,11.43,N/A,1.34,N/A,0.0,15.3162
Anaconda Mining Inc.,ANX,2021,1,20,0.6,Basic Materials,Gold,96100000.0,12.24,N/A,1.44,N/A,0.0,17.6256
Anaconda Mining Inc.,ANX,2021,1,21,0.59,Basic Materials,Gold,94500000.0,12.04,N/A,1.41,N/A,0.0,16.976399999999998
Anaconda Mining Inc.,ANX,2021,1,22,0.61,Basic Materials,Gold,97710000.0,12.45,N/A,1.46,N/A,0.0,18.177
Anaconda Mining Inc.,ANX,2021,1,25,0.58,Basic Materials,Gold,92900000.0,11.84,N/A,1.39,N/A,0.0,16.4576
Anaconda Mining Inc.,ANX,2021,1,26,0.58,Basic Materials,Gold,92900000.0,11.84,N/A,1.39,N/A,0.0,16.4576
