Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Orla Mining Ltd.,OLA,2021,1,6,7.04,Basic Materials,Gold,1610000000.0,N/A,N/A,10.13,N/A,0.0,N/A
Orla Mining Ltd.,OLA,2021,1,7,7.12,Basic Materials,Gold,1630000000.0,N/A,N/A,10.24,N/A,0.0,N/A
Orla Mining Ltd.,OLA,2021,1,8,6.67,Basic Materials,Gold,1530000000.0,N/A,N/A,9.6,N/A,0.0,N/A
Orla Mining Ltd.,OLA,2021,1,11,6.59,Basic Materials,Gold,1510000000.0,N/A,N/A,9.48,N/A,0.0,N/A
Orla Mining Ltd.,OLA,2021,1,12,6.5,Basic Materials,Gold,1490000000.0,N/A,N/A,9.35,N/A,0.0,N/A
Orla Mining Ltd.,OLA,2021,1,13,6.29,Basic Materials,Gold,1440000000.0,N/A,N/A,9.05,N/A,0.0,N/A
Orla Mining Ltd.,OLA,2021,1,14,6.29,Basic Materials,Gold,1440000000.0,N/A,N/A,9.05,N/A,0.0,N/A
Orla Mining Ltd.,OLA,2021,1,15,6.02,Basic Materials,Gold,1380000000.0,N/A,N/A,8.66,N/A,0.0,N/A
Orla Mining Ltd.,OLA,2021,1,18,6.03,Basic Materials,Gold,1380000000.0,N/A,N/A,8.68,N/A,0.0,N/A
Orla Mining Ltd.,OLA,2021,1,19,6.11,Basic Materials,Gold,1400000000.0,N/A,N/A,8.79,N/A,0.0,N/A
Orla Mining Ltd.,OLA,2021,1,20,6.15,Basic Materials,Gold,1410000000.0,N/A,N/A,8.85,N/A,0.0,N/A
