Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
CCL Industries Inc.,CCL-A,2021,1,6,60.25,Consumer Cyclical,Packaging & Containers,10630000000.0,22.15,N/A,3.39,0.011899999999999999,0.25739999999999996,74.20545508449452
CCL Industries Inc.,CCL-A,2021,1,6,60.25,Consumer Cyclical,Packaging & Containers,10670000000.0,22.15,N/A,3.39,0.011899999999999999,0.25739999999999996,74.20545508449452
CCL Industries Inc.,CCL-A,2021,1,6,60.25,Consumer Cyclical,Packaging & Containers,10930000000.0,22.15,N/A,3.39,0.011899999999999999,0.25739999999999996,74.20545508449452
CCL Industries Inc.,CCL-A,2021,1,11,60.81,Consumer Cyclical,Packaging & Containers,10990000000.0,22.36,N/A,3.42,0.0118,0.25739999999999996,75.5793635105752
CCL Industries Inc.,CCL-A,2021,1,11,60.81,Consumer Cyclical,Packaging & Containers,10770000000.0,22.36,N/A,3.42,0.0118,0.25739999999999996,75.5793635105752
CCL Industries Inc.,CCL-A,2021,1,13,61.25,Consumer Cyclical,Packaging & Containers,10870000000.0,22.52,N/A,3.45,0.011699999999999999,0.25739999999999996,76.7954927350005
CCL Industries Inc.,CCL-A,2021,1,13,61.25,Consumer Cyclical,Packaging & Containers,10870000000.0,22.52,N/A,3.45,0.0116,0.25739999999999996,76.80308422301304
CCL Industries Inc.,CCL-A,2021,1,15,62.52,Consumer Cyclical,Packaging & Containers,11120000000.0,22.99,N/A,3.52,0.0116,0.25739999999999996,79.99683669434557
CCL Industries Inc.,CCL-A,2021,1,15,62.52,Consumer Cyclical,Packaging & Containers,11040000000.0,22.99,N/A,3.52,0.011399999999999999,0.25739999999999996,80.01265572473797
CCL Industries Inc.,CCL-A,2021,1,19,63.63,Consumer Cyclical,Packaging & Containers,11220000000.0,23.39,N/A,3.58,0.011399999999999999,0.25739999999999996,82.7923670160174
CCL Industries Inc.,CCL-A,2021,1,19,63.63,Consumer Cyclical,Packaging & Containers,10940000000.0,23.39,N/A,3.58,0.011200000000000002,0.25739999999999996,82.80874208860759
CCL Industries Inc.,CCL-A,2021,1,21,60.57,Consumer Cyclical,Packaging & Containers,10430000000.0,22.27,N/A,3.41,0.011200000000000002,0.25739999999999996,75.09958465189874
CCL Industries Inc.,CCL-A,2021,1,22,60.54,Consumer Cyclical,Packaging & Containers,10750000000.0,22.26,N/A,3.41,0.011699999999999999,0.25739999999999996,75.02876346743106
CCL Industries Inc.,CCL-A,2021,1,25,60.89,Consumer Cyclical,Packaging & Containers,10860000000.0,22.39,N/A,3.43,0.011699999999999999,0.25739999999999996,75.90955816941782
CCL Industries Inc.,CCL-A,2021,1,26,60.79,Consumer Cyclical,Packaging & Containers,10800000000.0,22.35,N/A,3.42,0.011699999999999999,0.25739999999999996,75.55302955421567
CCL Industries Inc.,CCL-A,2021,1,27,59.29,Consumer Cyclical,Packaging & Containers,10590000000.0,21.8,N/A,3.34,0.011699999999999999,0.25739999999999996,71.96995156666996
CCL Industries Inc.,CCL-A,2021,1,28,59.89,Consumer Cyclical,Packaging & Containers,10630000000.0,22.02,N/A,3.37,0.012,0.25739999999999996,73.32747035573124
CCL Industries Inc.,CCL-A,2021,1,29,59.5,Consumer Cyclical,Packaging & Containers,10490000000.0,21.88,N/A,3.35,0.011899999999999999,0.25739999999999996,72.43601146358336
CCL Industries Inc.,CCL-A,2021,2,1,60.14,Consumer Cyclical,Packaging & Containers,10600000000.0,22.11,N/A,3.38,0.011899999999999999,0.25739999999999996,73.85294989623479
CCL Industries Inc.,CCL-A,2021,2,2,60.59,Consumer Cyclical,Packaging & Containers,10730000000.0,22.28,N/A,3.41,0.011899999999999999,0.25739999999999996,75.0813321474454
CCL Industries Inc.,CCL-A,2021,2,3,61.09,Consumer Cyclical,Packaging & Containers,10830000000.0,22.46,N/A,3.44,0.011699999999999999,0.25739999999999996,76.36888405653849
CCL Industries Inc.,CCL-A,2021,2,4,61.2,Consumer Cyclical,Packaging & Containers,10900000000.0,22.5,N/A,3.44,0.011699999999999999,0.25739999999999996,76.5048927547692
CCL Industries Inc.,CCL-A,2021,2,5,62.51,Consumer Cyclical,Packaging & Containers,11180000000.0,22.98,N/A,3.52,0.0116,0.25739999999999996,79.9620403321471
