Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Celestica Inc.,CLS,2021,1,6,10.39,Technology,Electronic Components,1340000000.0,40.75,N/A,0.96,N/A,0.0,39.12
Celestica Inc.,CLS,2021,1,7,10.59,Technology,Electronic Components,1370000000.0,41.53,N/A,0.98,N/A,0.0,40.6994
Celestica Inc.,CLS,2021,1,8,10.59,Technology,Electronic Components,1370000000.0,41.53,N/A,0.98,N/A,0.0,40.6994
Celestica Inc.,CLS,2021,1,11,10.68,Technology,Electronic Components,1380000000.0,41.88,N/A,0.98,N/A,0.0,41.0424
Celestica Inc.,CLS,2021,1,12,10.52,Technology,Electronic Components,1360000000.0,41.25,N/A,0.97,N/A,0.0,40.012499999999996
Celestica Inc.,CLS,2021,1,13,10.46,Technology,Electronic Components,1350000000.0,41.02,N/A,0.96,N/A,0.0,39.379200000000004
Celestica Inc.,CLS,2021,1,14,10.91,Technology,Electronic Components,1410000000.0,42.78,N/A,1.01,N/A,0.0,43.2078
Celestica Inc.,CLS,2021,1,15,10.79,Technology,Electronic Components,1390000000.0,42.31,N/A,0.99,N/A,0.0,41.886900000000004
Celestica Inc.,CLS,2021,1,18,10.74,Technology,Electronic Components,1390000000.0,42.12,N/A,0.99,N/A,0.0,41.6988
Celestica Inc.,CLS,2021,1,19,10.94,Technology,Electronic Components,1410000000.0,42.9,N/A,1.01,N/A,0.0,43.329
Celestica Inc.,CLS,2021,1,20,11.11,Technology,Electronic Components,1430000000.0,43.57,N/A,1.02,N/A,0.0,44.4414
Celestica Inc.,CLS,2021,1,21,11.19,Technology,Electronic Components,1440000000.0,43.88,N/A,1.03,N/A,0.0,45.196400000000004
Celestica Inc.,CLS,2021,1,22,11.25,Technology,Electronic Components,1450000000.0,44.12,N/A,1.04,N/A,0.0,45.8848
Celestica Inc.,CLS,2021,1,25,11.01,Technology,Electronic Components,1420000000.0,43.18,N/A,1.01,N/A,0.0,43.6118
Celestica Inc.,CLS,2021,1,26,11.14,Technology,Electronic Components,1440000000.0,43.69,N/A,1.03,N/A,0.0,45.0007
Celestica Inc.,CLS,2021,1,27,10.69,Technology,Electronic Components,1380000000.0,22.79,N/A,0.98,N/A,0.0,22.3342
Celestica Inc.,CLS,2021,1,28,10.87,Technology,Electronic Components,1400000000.0,23.18,N/A,1.0,N/A,0.0,23.18
Celestica Inc.,CLS,2021,1,29,10.37,Technology,Electronic Components,1340000000.0,22.11,N/A,0.95,N/A,0.0,21.0045
Celestica Inc.,CLS,2021,2,1,10.41,Technology,Electronic Components,1340000000.0,22.2,N/A,0.95,N/A,0.0,21.09
Celestica Inc.,CLS,2021,2,2,10.72,Technology,Electronic Components,1380000000.0,22.86,N/A,0.98,N/A,0.0,22.4028
Celestica Inc.,CLS,2021,2,3,11.11,Technology,Electronic Components,1430000000.0,23.69,N/A,1.02,N/A,0.0,24.163800000000002
Celestica Inc.,CLS,2021,2,4,11.46,Technology,Electronic Components,1480000000.0,24.43,N/A,1.05,N/A,0.0,25.651500000000002
Celestica Inc.,CLS,2021,2,5,11.54,Technology,Electronic Components,1490000000.0,24.61,N/A,1.06,N/A,0.0,26.0866
