Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Richards Packaging Income Fund,RPI-UN,2021,1,6,73.95,Consumer Cyclical,Packaging & Containers,830460000.0,25.19,N/A,5.84,0.0183,0.45049999999999996,144.4658744967102
Richards Packaging Income Fund,RPI-UN,2021,1,7,71.0,Consumer Cyclical,Packaging & Containers,797330000.0,24.18,N/A,5.61,0.018600000000000002,0.45049999999999996,133.17278617710585
Richards Packaging Income Fund,RPI-UN,2021,1,8,72.18,Consumer Cyclical,Packaging & Containers,810580000.0,24.58,N/A,5.7,0.018600000000000002,0.45049999999999996,137.54761437266836
Richards Packaging Income Fund,RPI-UN,2021,1,11,74.74,Consumer Cyclical,Packaging & Containers,839330000.0,25.46,N/A,5.91,0.0183,0.45049999999999996,147.7645094765786
Richards Packaging Income Fund,RPI-UN,2021,1,12,72.3,Consumer Cyclical,Packaging & Containers,811930000.0,24.63,N/A,5.71,0.0183,0.45049999999999996,138.1098890307375
Richards Packaging Income Fund,RPI-UN,2021,1,13,72.59,Consumer Cyclical,Packaging & Containers,815190000.0,24.72,N/A,5.74,0.0183,0.45049999999999996,139.3428262790926
Richards Packaging Income Fund,RPI-UN,2021,1,14,74.95,Consumer Cyclical,Packaging & Containers,841690000.0,25.53,N/A,5.92,0.0183,0.45049999999999996,148.42148679171166
Richards Packaging Income Fund,RPI-UN,2021,1,15,72.97,Consumer Cyclical,Packaging & Containers,819450000.0,24.85,N/A,5.77,0.0176,0.45049999999999996,140.9045794025157
Richards Packaging Income Fund,RPI-UN,2021,1,18,74.0,Consumer Cyclical,Packaging & Containers,831020000.0,25.2,N/A,5.85,0.0178,0.45049999999999996,144.8418156808803
Richards Packaging Income Fund,RPI-UN,2021,1,19,75.0,Consumer Cyclical,Packaging & Containers,842250000.0,25.54,N/A,5.93,0.0178,0.45049999999999996,148.80349774022397
